supplier_id,supplier_name,parent_company
441,Frenos y Mecanismos S.A. de C.V. - PLant 1 & 2,
442,Freudenberg SE,Freudenberg Sealing Technologies
443,Freudenberg Sealing Technologies AG,Freudenberg Sealing Technologies
444,Freudenberg Sealing Technologies GmbH & Co. KG,Freudenberg Sealing Technologies
445,Freudenberg-NOK Sealing Technologies,Freudenberg Sealing Technologies
446,Friedrich Boysen GmbH & Co. KG,
447,Fritz Winter Eisengie?erei GmbH & Co. KG - Stadtallendorf,
448,"Fuji Machinery Co., Ltd.",
449,"Fujian Zhaori Environmental Science and Technology Development Co., Ltd.",
450,"Fujiwa Machinery Industry (Kunshan) Co., Ltd.",
451,"Fukai MFG Co., Ltd.",
452,"Fulin Precision Co., Ltd. (Formerly Mianyang Fulin Precision Co., Ltd.)",
453,"Futaba Czech, S.R.O.",Futaba
454,"Futaba Industrial Co., Ltd.",Futaba
455,"Futaba Kogyo Co., Ltd.",Futaba
456,"Fuxin Dare Automotive Parts Co., Ltd.",
457,"Fuxin Lanye Technology Co., Ltd.",
458,"Fuzhou Ibara Lioho Machinery Co., Ltd.",
459,"G-One Auto Parts de Mexico, S.A. de C.V.",
460,"G-TEKT (Thailand) Co.,Ltd.",G-TEKT
461,"G-TEKT Eastern Co., Ltd. (G-TEC)",G-TEKT
462,"GAC Aisin Automatic Transmission Co., Ltd.",GAC Group
463,"GAC Toyota Engine Co., Ltd.",GAC Group
464,GEIGER Automotive GmbH,
465,GETRAG Transmission Manufacturing de Mexico S.A de C.A (Formerly GETRAG Americas GmbH),
466,"GF Casting Solutions Kunshan Co., Ltd.",
467,GF Linamar LLC,
468,GH Auto Parts Industries Inc.,
469,"GKN Driveline (Thailand) Co., Ltd.",GKN
470,GKN Driveline Tochigi Holdings KK,GKN
471,"GKN Sinter Metals, LLC",GKN
472,GM,
473,GMB Korea Corp.,GMB
474,GMB Romania Auto Industry S.R.L.,GMB
475,Gabriel India Ltd.,
476,"Ganzhou Jingwei Science & Technology Co., Ltd.",
477,Garrett Motion Inc. (Formerly Honeywell Turbo Technologies Inc.),Garrett Motion
